City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2017-03-15,0.12959124928036847,0.3774535840326712,59.15,0.15164082221420844,30.58,37.36,0.004840791738382101,0.12871499973128392,0.1241657612913239,3.83,9.02,,0.27854545454545454,Very Poor
Delhi,2017-03-16,0.14466321243523317,0.41165917165350613,73.95,0.15207356653443924,35.0,43.07,0.005593803786574872,0.1267265007792766,0.12373894148688498,3.93,9.51,,0.2596363636363636,Very Poor
Delhi,2017-03-17,0.13115716753022452,0.3404742513839217,36.4,0.13952398124774612,20.84,29.62,0.00699225473321859,0.11506422314182833,0.12645506751513272,3.29,6.72,,0.22836363636363635,Very Poor
Delhi,2017-03-18,0.11080023028209558,0.3160652951382741,43.27,0.1681932924630364,25.98,33.5,0.006454388984509467,0.11973988283979145,0.1296368151482229,3.35,7.45,,0.17454545454545453,Poor
Delhi,2017-03-19,0.13848013816925736,0.41339423769224415,80.86,0.18622430580598628,41.4,43.17,0.00871342512908778,0.12296447573493845,0.1234673288840602,4.4,9.77,,0.23854545454545453,Very Poor
Delhi,2017-03-20,0.1393782383419689,0.39251442937573033,41.69,0.17857915614857556,26.14,34.32,0.008283132530120483,0.119524909980115,0.11993636504733819,3.66,6.47,,0.2567272727272727,Very Poor
Delhi,2017-03-21,0.14778353483016696,0.4313940724478595,46.31,0.1872701045798774,29.59,33.99,0.00892857142857143,0.1309722147578868,0.11097314915412074,4.41,7.75,,0.2807272727272727,Very Poor
Delhi,2017-03-22,0.13899827288428326,0.478571344263069,86.41,0.24990984493328525,31.85,49.03,0.006239242685025818,0.1551566614714892,0.0809793574421853,4.89,10.6,,0.27345454545454545,Very Poor
Delhi,2017-03-23,0.17387449625791596,0.4040815363006503,135.8,0.25438153624233684,29.17,73.23,0.005916523235800345,0.14618154457999677,0.12296290547881421,2.33,5.55,,0.29309090909090907,Severe
Delhi,2017-03-24,0.17185952792170409,0.3336756252729483,45.21,0.28672917417958893,32.77,76.02,0.0073149741824440635,0.11866501854140914,0.07655595219618189,1.7,3.68,,0.2509090909090909,Very Poor
Delhi,2017-03-25,0.19351755900978698,0.300426094448969,49.68,0.30223584565452577,45.26,59.37,0.003334767641996558,0.08152845703229966,0.08633400589787366,1.5,2.76,,0.21454545454545454,Very Poor
Delhi,2017-03-26,0.13607369027058147,0.29223469423887255,43.09,0.28427695636494776,42.21,53.05,0.003334767641996558,0.07975493093996881,0.08974856433338506,1.56,2.36,,0.20218181818181816,Poor
Delhi,2017-03-27,0.1798733448474381,0.2582533668543371,38.44,0.2857194374323837,40.77,52.56,0.003549913941480207,0.09426559896813026,0.0911066273475089,1.53,2.67,,0.19199999999999998,Poor
Delhi,2017-03-28,0.17559009786989063,0.34202046669735486,61.08,0.3084385142445006,53.58,61.73,0.004518072289156627,0.09797388079754929,0.07294738475865278,2.47,4.81,,0.22254545454545455,Very Poor
Delhi,2017-03-29,0.13063903281519865,0.36752711778383673,77.91,0.2735665344392355,59.57,58.95,0.004840791738382101,0.09270704573547589,0.05956076361943193,3.28,5.26,,0.24436363636363634,Very Poor
Delhi,2017-03-30,0.07976971790443294,0.2408318874449677,61.61,0.2750450775333574,46.32,57.35,0.0039802065404475045,0.12742516257322511,0.05769827720006208,1.59,2.94,,0.16,Poor
Delhi,2017-03-31,0.10481289579735176,0.33699231613611413,76.66,0.3036783267219618,56.29,67.36,0.004410499139414803,0.11001236093943138,0.0876920689119975,2.01,4.14,,0.15927272727272726,Poor
Delhi,2017-04-01,0.12153137593552102,0.34328340592283085,84.88,0.2947710061305446,63.72,68.33,0.005593803786574872,0.10770140269790938,0.0889725283253143,2.85,6.71,,0.23781818181818182,Very Poor
Delhi,2017-04-02,0.09579735175590098,0.2486691925451176,49.44,0.2811034980165885,46.98,59.67,0.004518072289156627,0.10383189122373299,0.13471985100108644,2.13,4.93,,0.17818181818181816,Poor
Delhi,2017-04-03,0.08112838226827866,0.2267270988987642,55.93,0.302163721601154,49.07,58.96,0.0039802065404475045,0.12909120223571774,0.12769672512804595,1.52,3.35,,0.13818181818181818,Poor
Delhi,2017-04-04,0.09699481865284976,0.2769495886595139,57.09,0.26563288856833756,43.73,63.38,0.0041953528399311536,0.129682377599828,0.12393295048890267,1.58,2.83,,0.14981818181818182,Poor
Delhi,2017-04-05,0.05470351180195741,0.24496299706101055,34.82,0.23310494049765598,34.67,66.8,0.0034423407917383827,0.10608910625033588,0.11582337420456308,1.09,4.83,,0.17527272727272727,Poor
Delhi,2017-04-06,0.0717098445595855,0.2977939874650331,39.61,0.24204832311575908,39.78,59.04,0.0032271944922547336,0.09243832966088031,0.11892751823684618,0.96,2.04,,0.14327272727272727,Poor
Delhi,2017-04-07,0.17340241796200345,0.6406996919372543,61.75,0.2703930760908763,47.72,51.4,0.0037650602409638554,0.14876121889611438,0.1374747788297377,1.68,3.49,,0.3010909090909091,Severe
Delhi,2017-04-08,0.17396660909614278,0.48389457408259856,104.57,0.27980526505589615,56.4,55.26,0.0051635111876075735,0.17944859461492985,0.1416653732733199,2.03,3.68,,0.35127272727272724,Severe
Delhi,2017-04-09,0.07912492803684514,0.22454351238742723,36.79,0.24554633970429135,34.4,38.77,0.0029044750430292604,0.12237330037082818,0.20359304671736767,0.89,1.81,,0.19999999999999998,Poor
Delhi,2017-04-10,0.1485204375359816,0.28056135878096855,33.56,0.2598269022719077,34.8,37.48,0.003119621342512909,0.11737518138335035,0.2129442806146205,1.16,2.21,,0.19709090909090907,Poor
Delhi,2017-04-11,0.16860103626943007,0.2984903745145946,40.88,0.2580959249909845,39.52,40.69,0.003549913941480207,0.13156339012199708,0.17631538103367997,1.83,6.95,,0.25745454545454544,Very Poor
Delhi,2017-04-12,0.12381116868163501,0.36494222348122707,45.69,0.22055535521096287,50.77,43.01,0.006884681583476765,0.1760090288601064,0.12990842775104766,3.08,17.79,,0.2109090909090909,Very Poor
